WKT,pops_number,borough_name,borough_code,community_board,address_number,street_name,zip_code,building_address_with_zip_code,tax_block,tax_lot,building_name,building_location,year_completed,building_constructed,public_space_type,developer,building_architect,principal_public_space_designer,size_required,hour_of_access_required,amenities_required,other_required,permitted_amenities,physically_disabled_access,latitude,longitude,xcoordinate,ycoordinate,bin,postcode,council_district,census_tract,bbl,nta,location,tpadbin,tpadbinstatus
"POINT (-73.974123 40.758495)",M050089,Manhattan,"1","05","40",EAST 52 STREET,"10022","40 EAST 52 STREET, New York, NY 10022","01287","0028",,South side of East 52nd Street between Park and Madison Avenues,"1986",Completed,Urban Plaza,Jack and Lewis Rudin,The Eggers Group,The Eggers Group,Urban Plaza 4124.88 sf,24 Hours,"Lighting; Litter Receptacles; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space; Water Feature",,,Full/Partial,40.758495,-73.974123,"0991419","0215618","1076267","10022","4","102","1012870028",,POINT(-73.974123 40.758495),,No activity
"POINT (-73.984645 40.757155)",M050090,Manhattan,"1","05","145",WEST 44 STREET,"10036","145 WEST 44 STREET, New York, NY 10036","00997","0010",Millennium Broadway,North side of West 44th Street between Sixth Avenue and Broadway,"1990",Completed,Through Block Connection,Harry Macklowe,Gruzen Samton Steinglass/ Perkins & Will,Gruzen Samton Steinglass/ Perkins & Will,Through Block Connection 3012.00 sf,Restricted Hours,"Lighting; Plaque/Sign",,,Full/Partial,40.757155,-73.984645,"0988504","0215129","1085016","10036","4","119","1009970010",,POINT(-73.984645 40.757155),,No activity
"POINT (-73.986197 40.758627)",M050091,Manhattan,"1","05","1535",BROADWAY,"10036","1535 BROADWAY, New York, NY 10036","01017","7501",Marriott Marquis,West side of Broadway between West 45th and 46th Streets,"1985",Completed,"Broadway Plaza; Covered Public Pedestrian Area; Interior Spaces; Shubert Alley Extension",Portman Properties,John Portman,John Portman,"Broadway Plaza 4000.00 sf; Covered Public Pedestrian Area 24950.00 sf; Interior Spaces 40300.00 sf; Shubert Alley Extension 4970.00 sf","24 Hours; Restricted Hours","Climate Control; Elevator; Other Required; Plaque/Sign; Retail Frontage","imate theater of at least 1,050 seats; not less than $50,000 for renovation of 46th Street theater; entrances from Shubert Alley Extension to hotel lobby and retail above",,Full/Partial,40.758627,-73.986197,"0988074","0215665","1024727","10036","3","119","1010177501",,POINT(-73.986197 40.758627),,No activity
"POINT (-73.980759 40.752999)",M050092,Manhattan,"1","05","489",FIFTH AVENUE,"10017","489 FIFTH AVENUE, New York, NY 10017","01276","0004",,East side of Fifth Avenue between East 41st and 42nd Streets,"1972",Completed,Arcade,,Kahn and Jacobs,Kahn and Jacobs,Arcade 510.00 sf,24 Hours,None,,,Full/Partial,40.752999,-73.980759,"0989581","0213615","1076266","10017","4","82","1012760004",,POINT(-73.980759 40.752999),,No activity
"POINT (-73.983627 40.743374)",M050093,Manhattan,"1","05","407",PARK AVENUE SOUTH,"10016","407 PARK AVENUE SOUTH, New York, NY 10016","00884","0001",Ascot,Northeast corner of East 28th Street and Park Avenue South,"1984",Completed,Residential Plaza,,Philip Birnbaum & Associates,Thomas Balsley Associates,Residential Plaza 3686.07 sf,Restricted Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,Full/Partial,40.743374,-73.983627,"0988787","0210108","1018204","10016","2","72","1008840001",,POINT(-73.983627 40.743374),,No activity
"POINT (-73.986164 40.742024)",M050094,Manhattan,"1","05","45",EAST 25 STREET,"10010","45 EAST 25 STREET, New York, NY 10010","00855","7501",Stanford,North side of East 25th Street between Park Avenue South and Madison Avenue,"1986",Completed,Plaza,,Liebman Liebman Associates,Liebman Liebman Associates,Plaza 2000.40 sf,24 Hours,None,,,Full/Partial,40.742024,-73.986164,"0988084","0209616","1016750","10010","2","56","1008557501",,POINT(-73.986164 40.742024),,No activity
"POINT (-73.977022 40.757231)",M050095,Manhattan,"1","05","12",EAST 49 STREET,"10017","12 EAST 49 STREET, New York, NY 10017","01284","0007",Tower 49,South side of East 49th Street between Madison and Fifth Avenues,"1984",Completed,"Arcade; Public Access Passageway; Sidewalk Widening; Urban Plaza",Solstead Associates (David and Jean Solomon),"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill; Thomas Balsley Associates (for alteration in 2004)","Arcade 3779.00 sf; Public Access Passageway 0.00 sf; Sidewalk Widening 998.00 sf; Urban Plaza 6387.00 sf","24 Hours; Restricted Hours","Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees on Street; Trees within Space",,,Full/Partial,40.757231,-73.977022,"0990616","0215157","1035434","10017","4","94","1012840007",,POINT(-73.977022 40.757231),,No activity
"POINT (-73.982843 40.76052)",M050097,Manhattan,"1","05","745",SEVENTH AVENUE,"10019","745 SEVENTH AVENUE, New York, NY 10019","01002","0001",,East side of Seventh Avenue between West 49th and 50th Streets,"1999",Completed,"Public Plaza; Underground Passageway","Rockefeller Group Development Corp., Morgan Stanley Dean Witter & Co.",Kohn Pedersen Fox Associates,Kohn Pedersen Fox Associates,"Public Plaza 15648.00 sf; Underground Passageway 0.00 sf",Restricted Hours,"Elevator; Food Service; Lighting; Planting; Plaque/Sign; Seating; Subway; Tables; Trees within Space; Water Feature",,,Full/Partial,40.76052,-73.982843,"0989003","0216355","1084667","10019","4","125","1010020001",,POINT(-73.982843 40.76052),,No activity
"POINT (-73.98515 40.758432)",M050100,Manhattan,"1","05","1548",BROADWAY,"10036","1548 BROADWAY, New York, NY 10036",,,Bertelsmann,"East side of Broadway between West 45th and West 46th Streets. Original BBL: 998/1001-1005,8.","1999",Completed,Through Block Connection,Broadway State Partners/Eichner Properties,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill",Through Block Connection 3012.00 sf,Restricted Hours,"Lighting; Plaque/Sign",,,Full/Partial,40.758432,-73.98515,"0988364","0215594",,"10036","4","119",,,POINT(-73.98515 40.758432),,No activity
"POINT (-73.983038 40.75814)",M050101,Manhattan,"1","05","114",WEST 47 STREET,"10036","114 WEST 47 STREET, New York, NY 10036","00999","0019",United States Trust,South side of  West 47th Street between Sixth and Seventh Avenues,"1989",Completed,Through Block Connection,The Durst Organization,Fox & Fowle Architects,Fox & Fowle Architects,Through Block Connection 3012.45 sf,Restricted Hours,"Lighting; Plaque/Sign",,,Full/Partial,40.75814,-73.983038,"0988949","0215488","1022667","10036","4","125","1009990019",,POINT(-73.983038 40.75814),,No activity
"POINT (-73.980463 40.763503)",M050102,Manhattan,"1","05","151",WEST 54 STREET,"10019","151 WEST 54 STREET, New York, NY 10019","01007","0005",London Hotel,"North side of West 54th Street between Sixth and Seventh Avenues. Additional lot: 1007/5, 58.","1990",Completed,Through Block Connection,"William Zeckendorf, Jr.",Frank Williams & Associates,Frank Williams & Associates,Through Block Connection 3012.45 sf,Restricted Hours,"Lighting; Plaque/Sign",,,Full/Partial,40.763503,-73.980463,"0989662","0217442","1069590","10019","6","137","1010070005",,POINT(-73.980463 40.763503),,No activity
"POINT (-73.982199 40.750965)",M050103,Manhattan,"1","05","425",FIFTH AVENUE,"10016","425 FIFTH AVENUE, New York, NY 10016","00868","7503",,"Northeast corner of East 38th Street and Fifth Avenue. Original BBL: 868/1,5,70.","2003",Completed,"Pedestrian Circulation Space; Urban Plaza",,"Michael Graves, H. Thomas O'Hara Architects",Thomas Balsley Associates,"Pedestrian Circulation Space 0.00 sf; Urban Plaza 2880.21 sf",24 Hours,"Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature",,,Full/Partial,40.750965,-73.982199,"0989182","0212874","1085975","10016","4","82","1008687503",,POINT(-73.982199 40.750965),,No activity
"POINT (-73.985507 40.759977)",M050104,Manhattan,"1","05","1585",BROADWAY,"10036","1585 BROADWAY, New York, NY 10036","01019","7502",Morgan Stanley Building,West side of Broadway between West 47th Street and West 48th Street,"1989",Completed,Through Block Connection,,Gwathmey Siegel & Associates Architects/Emery Roth & Sons,,,Restricted Hours,"Lighting; Plaque/Sign",,,None,40.759977,-73.985507,"0988265","0216157","1076193","10036","3","125","1010197502",,POINT(-73.985507 40.759977),,No activity
"POINT (-73.978951 40.763747)",M050106,Manhattan,"1","05","125",WEST 55 STREET,"10019","125 WEST 55 STREET, New York, NY 10019","01008","0019",Avenue of the Americas Plaza,"North side of West 55th Street and south side of West 56th Street between Sixth Avenue and Seventh Avenue. Additional lots: 1008/19, 21, 22, 25 & 44.","1990",Completed,Through Block Connection,Macklowe Properties,Edward Larrabee Barnes,Edward Larrabee Barnes,Through Block Connection 0.00 sf,Restricted Hours,"Lighting; Plaque/Sign",,,Full/Partial,40.763747,-73.978951,"0990081","0217531","1076176","10019","6","137","1010080019",,POINT(-73.978951 40.763747),,No activity
"POINT (-73.990772 40.744914)",M050107,Manhattan,"1","05","776",SIXTH AVENUE,"10001","776 SIXTH AVENUE, New York, NY 10001","00828","0001",The Capitol at Chelsea,"Full blockfront east side of Sixth Avenue between West 27th Street and West 26th Street. Original BBL: 828/1,4,5,74,77,80.","2002",Completed,Urban Plaza,,Costas Kondylis,Thomas Balsley Associates,Urban Plaza 10147.00 sf,Restricted Hours,"Artwork; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature",Yes,,Full/Partial,40.744914,-73.990772,"0986807","0210669","1015632","10001","3","58","1008280001",,POINT(-73.990772 40.744914),,No activity
"POINT (-73.976742 40.761276)",M050108,Manhattan,"1","05","11",WEST 53 STREET,"10019","11 WEST 53 STREET, New York, NY 10019","01269","0020",Museum of Modern Art,"North side of West 53rd Street between Fifth Avenue and Avenue of the Americas. Additional lots: 1269/11,12,13,14,20,58,165.","2004",Completed,"Building Entrance Recess Areas; Through Block Lobby",,Taniguchi and Associates,Taniguchi and Associates,"Building Entrance Recess Areas 0.00 sf; Through Block Lobby 0.00 sf","Closing for Events; Restricted Hours",Artwork,,,Full/Partial,40.761276,-73.976742,"0990693","0216631","1081128","10019","4","104","1012690020",,POINT(-73.976742 40.761276),,No activity
"POINT (-73.98486 40.747329)",M050109,Manhattan,"1","05","325",FIFTH AVENUE,"10016","325 FIFTH AVENUE, New York, NY 10016","00862","7503",,"East side of Fifth Avenue between 32nd Street and 33rd Street. Original BBL: 862/1,3,4,9,11,73.","2005",Completed,Residential Plaza,Douglaston Development,Stephen B. Jacobs,Thomas Balsley Associates,Residential Plaza 8270.00 sf,Restricted Hours,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees on Street; Trees within Space",,,Full/Partial,40.747329,-73.98486,"0988445","0211549","1087309","10016","4","74","1008627503",,POINT(-73.98486 40.747329),,No activity
"POINT (-73.990281 40.747129)",M050110,Manhattan,"1","05","835",SIXTH AVENUE,"10001","835 SIXTH AVENUE, New York, NY 10001","00805","7502",Hotel Eventi,Full blockfront west side of Sixth Avenue between West 30th Street and West 29th Street,"2010",Completed,"Public Plaza; Urban Plaza",JD Carlisle Development,Perkins Eastman,Lee Weintraub Landscape Architecture,Urban Plaza 10819.00 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature","screen wall; Movable Tables and Chairs; Open Air Cafe",Open Air Cafe,Full/Partial,40.747129,-73.990281,"0986943","0211476","1015146","10001","3","95","1008057502",,POINT(-73.990281 40.747129),,No activity
"POINT (-73.983637 40.747406)",M050111,Manhattan,"1","05","172",MADISON AVENUE,"10016","172 MADISON AVENUE, New York, NY 10016","00863","7502",,Northwest corner of East 33rd Street and Madison Avenue,"2017",Completed,Public Plaza,Yitzhak Tessler,Karl Fischer,SCAPE Landscape Architecture,Public Plaza 3612.00 sf,24 Hours,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space",,,Full/Partial,40.747406,-73.983637,"0988784","0211577","1089701","10016","4","74","1008637502",,POINT(-73.983637 40.747406),,No activity
"POINT (-73.971797 40.7615)",M050112,Manhattan,"1","05","432",PARK AVENUE,"10022","432 PARK AVENUE, New York, NY 10022","01292","7502",432 Park Avenue,"Southwest of East 57th Street between Madison Avenue and Park Avenue. Original BBL: 1292/33,41,42.","2017",Completed,Public Plaza,"CIM Group, Macklowe Properties",Rafael Vinoly and SLCE Architects,"Rafael Vinoly, SLCE Architects, and Zion Breen and Richardson",Public Plaza 6340.69 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space",decorative back painted glass panel,,Full/Partial,40.7615,-73.971797,"0992063","0216713","1088817","10022","4","112.02","1012927502",,POINT(-73.971797 40.7615),,No activity
"POINT (-73.989083 40.745677)",M050113,Manhattan,"1","05","1185",BROADWAY,"10001","1185 BROADWAY, New York, NY 10001","00830","7503",,,,Under Construction,Public Plaza,,Rafael Vinoly Architects,Langan Architects,Public Plaza 4184.00 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space",,,Full/Partial,40.745677,-73.989083,"0987275","0210947","1000000","10001","3","76","1008307503",,POINT(-73.989083 40.745677),,No activity
"POINT (-73.988671 40.747409)",M050115,Manhattan,"1","05","1241",BROADWAY,"10001","1241 BROADWAY, New York, NY 10001","00832","0017",,,,Under Construction,Arcade,GDSNY,Skidmore Owings and Merrill,,,,,,,Full/Partial,40.747409,-73.988671,"0987389","0211578","1090786","10001","3","76","1008320017",,POINT(-73.988671 40.747409),,No activity
"POINT (-73.97599 40.755982)",M050116,Manhattan,"1","05","270",PARK AVENUE,"10017","270 PARK AVENUE, New York, NY 10017","01283","0021",,,,Under Construction,Pedestrian Circulation Space,,Ken Smith Workshop,,,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Plaque/Sign; Seating; Trees on Street; Trees within Space","1 Canopy; Steps are 5"" high with 15"" tread; water features",Open Air Cafe,Full/Partial,40.755982,-73.97599,"0990902","0214702","1091010","10017","4","94","1012830021",,POINT(-73.97599 40.755982),,No activity
"POINT (-73.976058 40.756662)",M050117,Manhattan,"1","05","415",MADISON AVENUE,"10017","415 MADISON AVENUE, New York, NY 10017","01284","0021",,,,Under Construction,Open Air Concourse,,Skidmore Owings and Merrill,,,,Bicycle Parking,,,Full/Partial,40.756662,-73.976058,"0990883","0214950","1000000","10017","4","94","1012840021",,POINT(-73.976058 40.756662),"1091759",New BIN issued
"POINT (-73.98057 40.742964)",M060002,Manhattan,"1","06","155",EAST 29 STREET,"10016","155 EAST 29 STREET, New York, NY 10016","00885","0042",Biltmore Plaza,Northwest corner of East 29th Street and Third Avenue,"1981",Completed,Plaza,,Brizee Levitt Associates,Brizee Levitt Associates,Plaza 6121.00 sf,24 Hours,None,,,Full/Partial,40.742964,-73.98057,"0989634","0209959","1018263","10016","2","72","1008850042",,POINT(-73.98057 40.742964),,No activity
"POINT (-73.980112 40.744476)",M060003,Manhattan,"1","06","155",EAST 31 STREET,"10016","155 EAST 31 STREET, New York, NY 10016","00887","0030",Windsor Court,North side of East 31st Street between Third and Lexington Avenues,"1987",Completed,Residential Plaza,Mastic Development  Corp.,Philip Birnbaum & Associates,Thomas Balsley Associates,Residential Plaza 6590.68 sf,Restricted Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,Full/Partial,40.744476,-73.980112,"0989761","0210510","1078756","10016","2","72","1008870030",,POINT(-73.980112 40.744476),,No activity
"POINT (-73.979288 40.745895)",M060005,Manhattan,"1","06","150",EAST 34 STREET,"10016","150 EAST 34 STREET, New York, NY 10016","00889","0055",Dumont Plaza,South side of East 34th Street between Third and Lexington  Avenues,"1987",Completed,Residential Plaza,,Goldhammer Wittenstein Good,Anthony G. Piscopia,Residential Plaza 3516.00 sf,24 Hours,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space; Water Feature",Primary Space: pavilion,,Full/Partial,40.745895,-73.979288,"0989989","0211027","1018507","10016","4","72","1008890055",,POINT(-73.979288 40.745895),,No activity
"POINT (-73.978675 40.745467)",M060006,Manhattan,"1","06","166",EAST 34 STREET,"10016","166 EAST 34 STREET, New York, NY 10016","00889","0039",,West side of Third Avenue between East 33rd and 34th Streets,"1974",Completed,Plaza,,Philip Birnbaum,Philip Birnbaum,Plaza 4412.40 sf,24 Hours,Plaque/Sign,,,Full/Partial,40.745467,-73.978675,"0990159","0210871","1018502","10016","4","72","1008890039",,POINT(-73.978675 40.745467),,No activity
"POINT (-73.980165 40.746892)",M060007,Manhattan,"1","06","115",EAST 34 STREET,"10016","115 EAST 34 STREET, New York, NY 10016","00890","0011",Murray Hill,North side of East 34th Street between Lexington and Park Avenues,"1980",Completed,Plaza,,Philip Birnbaum,Philip Birnbaum,Plaza 1330.00 sf,24 Hours,None,,,Full/Partial,40.746892,-73.980165,"0989746","0211390","1018517","10016","4","72","1008900011",,POINT(-73.980165 40.746892),,No activity
"POINT (-73.979696 40.746873)",M060008,Manhattan,"1","06","132",EAST 35 STREET,"10016","132 EAST 35 STREET, New York, NY 10016","00890","0020",Murray Hill House,West side of Lexington Avenue between East 34th and 35th Streets,"1969",Completed,Plaza,,Philip Birnbaum,Philip Birnbaum,Plaza 3966.99 sf,24 Hours,None,,,Full/Partial,40.746873,-73.979696,"0989876","0211383","1018519","10016","4","72","1008900020",,POINT(-73.979696 40.746873),,No activity
"POINT (-73.976866 40.748093)",M060009,Manhattan,"1","06","560",THIRD AVENUE,"10016","560 THIRD AVENUE, New York, NY 10016","00893","0041",Murray Hill Mews,West side of Third Avenue between East 37th and 38th Streets,"1974",Completed,Plaza,,Philip Birnbaum,Philip Birnbaum,Plaza 6594.50 sf,Restricted Hours,"Planting; Plaque/Sign; Seating",,Other Permitted,Full/Partial,40.748093,-73.976866,"0990660","0211828","1019099","10016","4","80","1008930041",,POINT(-73.976866 40.748093),,No activity
"POINT (-73.975952 40.749359)",M060010,Manhattan,"1","06","600",THIRD AVENUE,"10016","600 THIRD AVENUE, New York, NY 10016","00895","0045",,West side of Third Avenue between East 39th and 40th Streets,"1970",Completed,"Arcade; Plaza",Sigmund Sommer,Emery Roth & Sons,Emery Roth & Sons,"Arcade 1974.60 sf; Plaza 6582.83 sf",24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Seating; Tables; Trees within Space",,,Full/Partial,40.749359,-73.975952,"0990913","0212289","1019483","10016","4","80","1008950045",,POINT(-73.975952 40.749359),,No activity
"POINT (-73.985267 40.735365)",M060011,Manhattan,"1","06","201",EAST 17 STREET,"10003","201 EAST 17 STREET, New York, NY 10003","00898","0001",Park Towers Medical Plaza,East side of Third Avenue between East 17th and 18th Streets,"1973",Completed,Plaza,,Philip Birnbaum,Philip Birnbaum,Plaza 7738.14 sf,24 Hours,None,,,Full/Partial,40.735365,-73.985267,"0988333","0207190","1019551","10003","2","48","1008980001",,POINT(-73.985267 40.735365),,No activity
"POINT (-73.982513 40.739149)",M060012,Manhattan,"1","06","200",EAST 24 STREET,"10010","200 EAST 24 STREET, New York, NY 10010","00904","0050",Crystal House,Southeast corner of East 24th Street and Third Avenue,"1972",Completed,Plaza,,Clarence Lilien & Associates,Clarence Lilien & Associates,Plaza 3079.22 sf,24 Hours,None,,,Full/Partial,40.739149,-73.982513,"0989096","0208569","1019782","10010","2","64","1009040050",,POINT(-73.982513 40.739149),,No activity
"POINT (-73.97964 40.740247)",M060014,Manhattan,"1","06","240",EAST 27 STREET,"10016","240 EAST 27 STREET, New York, NY 10016","00907","0025",Parc East Tower Apartments,Southwest corner of East 27th Street and Second Avenue,"1977",Completed,"Mini-Park; Public Open Area",,Philip Birnbaum,"Lawrence Halprin Associates; Barteluce Architect and Associates (for alteration in 2006)","Mini-Park 7486.00 sf; Public Open Area 5532.77 sf","24 Hours; Restricted Hours","Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Tables; Trees on Street; Trees within Space; Water Feature","closed circuit television surveillance system, daily cleaning",,Full/Partial,40.740247,-73.97964,"0989892","0208969","1019855","10016","2","66","1009070025",,POINT(-73.97964 40.740247),,No activity
"POINT (-73.97848 40.744616)",M060015,Manhattan,"1","06","200",EAST 33 STREET,"10016","200 EAST 33 STREET, New York, NY 10016","00913","0001",Laurence Tower,East side of Third Avenue between East 32nd and 33rd Streets,"1972",Completed,Plaza,"Jack Goodstein, Milton Schwartz, and Morton M. Rosenfeld","Philip Birnbaum/Schuman, Lichtenstein & Claman","Philip Birnbaum/Schuman, Lichtenstein & Claman",Plaza 6583.83 sf,24 Hours,None,,,Full/Partial,40.744616,-73.97848,"0990213","0210561","1020078","10016","4","70","1009130001",,POINT(-73.97848 40.744616),,No activity
"POINT (-73.97495 40.747289)",M060016,Manhattan,"1","06","240",EAST 38 STREET,"10016","240 EAST 38 STREET, New York, NY 10016","00918","7501",,South side of 38th Street between Second and Third Avenues,"1967",Completed,"Arcade; Plaza",The New York Telephone Co.,Kahn and Jacobs,"Kahn and Jacobs; Ballinger (for alteration in 2011)","Arcade 5358.30 sf; Plaza 9041.70 sf",24 Hours,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees on Street; Trees within Space",,,Full/Partial,40.747289,-73.97495,"0991191","0211535","1020338","10016","4","78","1009187501",,POINT(-73.97495 40.747289),,No activity
"POINT (-73.974848 40.748203)",M060017,Manhattan,"1","06","222",EAST 39 STREET,"10016","222 EAST 39 STREET, New York, NY 10016","00919","0042",The Nash,South side of East 39th Street between Second and Third Avenues,"1972",Completed,Plaza,,Sidney Goldhammer,"Sidney Goldhammer; MUSHO Architecture and Design, LLC (for alteration in 2004)",Plaza 4371.45 sf,24 Hours,"Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees within Space",,,Full/Partial,40.748203,-73.974848,"0991219","0211868","1020361","10016","4","78","1009190042",,POINT(-73.974848 40.748203),,No activity
"POINT (-73.96782 40.752562)",M060018,Manhattan,"1","06","845",FIRST AVENUE,"10017","845 FIRST AVENUE, New York, NY 10017","01340","7501",Trump World Tower,West side of First Avenue between East 47th and 48th Streets,"2000",Completed,Residential Plaza,Donald Trump/Daewoo,Costas Kondylis & Associates,Abel Bainnson Butz,Residential Plaza 6694.00 sf,24 Hours,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,Full/Partial,40.752562,-73.96782,"0993166","0213457","1038909","10017","4","90","1013407501",,POINT(-73.96782 40.752562),,No activity
"POINT (-73.973654 40.74854)",M060019,Manhattan,"1","06","250",EAST 40 STREET,"10016","250 EAST 40 STREET, New York, NY 10016","00920","7501",Highpoint,Southwest corner of East 40th Street and Second Avenue,"1988",Completed,Residential Plaza,,"Wechsler, Grasso, Menziuso","Wechsler, Grasso, Menziuso",Residential Plaza 6427.00 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space; Water Feature",,,Full/Partial,40.74854,-73.973654,"0991550","0211991","1076162","10016","4","88","1009207501",,POINT(-73.973654 40.74854),,No activity
"POINT (-73.975684 40.744286)",M060020,Manhattan,"1","06","300",EAST 34 STREET,"10016","300 EAST 34 STREET, New York, NY 10016","00939","0001",,East side of Second Avenue between East 33rd and 34th Streets,"1974",Completed,"Arcade; Plaza","Henry Kibel, Eastbell Realty Co.",Max Wechsler,Max Wechsler,"Arcade 4332.00 sf; Plaza 6102.64 sf",24 Hours,"Planting; Retail Frontage",,,Full/Partial,40.744286,-73.975684,"0990988","0210441","1078843","10016","4","70","1009390001",,POINT(-73.975684 40.744286),,No activity
"POINT (-73.97272 40.746328)",M060021,Manhattan,"1","06","330",EAST 38 STREET,"10016","330 EAST 38 STREET, New York, NY 10016","00943","7501",Corinthian,West side of First Avenue between East 37th and 38th Streets,"1987",Completed,Residential Plaza,,Michael Schimenti/Der Scutt,Thomas Balsley Associates,Residential Plaza 27191.50 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,Full/Partial,40.746328,-73.97272,"0991809","0211185","1076166","10016","4","78","1009437501",,POINT(-73.97272 40.746328),,No activity
"POINT (-73.972452 40.747088)",M060022,Manhattan,"1","06","330",EAST 39 STREET,"10016","330 EAST 39 STREET, New York, NY 10016","00944","0010",New York Tower,South side of East 39th Street between First and Second Avenues,"1980",Completed,Plaza,,"Schuman, Lichtenstein, Claman & Efron","Schuman, Lichtenstein, Claman & Efron",Plaza 11512.00 sf,24 Hours,None,,,Full/Partial,40.747088,-73.972452,"0991883","0211462","1021923","10016","4","78","1009440010",,POINT(-73.972452 40.747088),,No activity
"POINT (-73.973221 40.747242)",M060023,Manhattan,"1","06","311",EAST 38 STREET,"10016","311 EAST 38 STREET, New York, NY 10016","00944","7501",Whitney,North side of East 38th Street between First and Second Avenues,"1984",Completed,Residential Plaza,,Liebman Liebman Associates,Liebman Liebman Associates,Residential Plaza 3871.17 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",2 additional amenities,,Full/Partial,40.747242,-73.973221,"0991670","0211518","1021933","10016","4","78","1009447501",,POINT(-73.973221 40.747242),,No activity
"POINT (-73.972838 40.748002)",M060024,Manhattan,"1","06","728",SECOND AVENUE,"10016","728 SECOND AVENUE, New York, NY 10016","00945","7501",Churchill,East side of Second Avenue between East 39th and 40th Streets,"1966",Completed,Plaza,,Philip Birnbaum,Philip Birnbaum,Plaza 15898.66 sf,24 Hours,None,,,Full/Partial,40.748002,-73.972838,"0991776","0211795","1022051","10016","4","88","1009457501",,POINT(-73.972838 40.748002),,No activity
"POINT (-73.971836 40.745155)",M060025,Manhattan,"1","06","630",FIRST AVENUE,"10016","630 FIRST AVENUE, New York, NY 10016","00968","7501",Manhattan Place,Full blockfront on east side of First Avenue between East 36th and 37th Streets,"1984",Completed,Residential Plaza,"Jeffrey Glick, Ralph Mallin, Belmo Realty Co.",Philip Birnbaum & Associates,Balsley Associates,Residential Plaza 16390.45 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space; Water Feature",,,None,40.745155,-73.971836,"0992054","0210758","1022060","10016","4","86.01","1009687501",,POINT(-73.971836 40.745155),,No activity
