WKT,pops_number,borough_name,borough_code,community_board,address_number,street_name,zip_code,building_address_with_zip_code,tax_block,tax_lot,building_name,building_location,year_completed,building_constructed,public_space_type,developer,building_architect,principal_public_space_designer,size_required,hour_of_access_required,amenities_required,other_required,permitted_amenities,physically_disabled_access,latitude,longitude,xcoordinate,ycoordinate,bin,postcode,council_district,census_tract,bbl,nta,location,tpadbin,tpadbinstatus
"POINT (-73.980881 40.765361)",M050011,Manhattan,"1","05","888",SEVENTH AVENUE,"10106","888 SEVENTH AVENUE, New York, NY 10106","01028","0029",,West side of Seventh Avenue between West 56th and 57th Streets,"1970",Completed,Plaza,Arlen Realty & Development Corp.,Emery Roth & Sons,"Emery Roth & Sons; Thomas Balsley Associates (for alteration)",Plaza 12317.00 sf,24 Hours,None,,,Full/Partial,40.765361,-73.980881,"0989546","0218119","1024895","10106","6","137","1010280029",,POINT(-73.980881 40.765361),,No activity
"POINT (-73.978481 40.764263)",M050012,Manhattan,"1","05","118",WEST 57 STREET,"10019","118 WEST 57 STREET, New York, NY 10019","01009","0019",Le Parker Meridien Hotel,South side of West 57th Street between Sixth and Seventh Avenues,"1979",Completed,"Plaza; Through Block Arcade",Jack Parker,Philip Birnbaum,Philip Birnbaum,"Plaza 3000.00 sf; Through Block Arcade 6820.00 sf","24 Hours; Restricted Hours","Artwork; Lighting; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space",skylight above middle portion,,Full/Partial,40.764263,-73.978481,"0990211","0217719","1023455","10019","6","137","1010090019",,POINT(-73.978481 40.764263),,No activity
"POINT (-73.976359 40.763549)",M050013,Manhattan,"1","05","40",WEST 57 STREET,"10019","40 WEST 57 STREET, New York, NY 10019","01272","0063",,South side of West 57th Street between Fifth and Sixth Avenues,"1972",Completed,"Plaza; Through Block Arcade",Samuel Lefrak,Jack Brown,Jack Brown,"Plaza 5183.74 sf; Through Block Arcade 4366.12 sf","24 Hours; Restricted Hours","Lighting; Planting",,,Full/Partial,40.763549,-73.976359,"0990799","0217459","1035057","10019","4","112.01","1012720063",,POINT(-73.976359 40.763549),,No activity
"POINT (-73.973894 40.762311)",M050014,Manhattan,"1","05","725",FIFTH AVENUE,"10022","725 FIFTH AVENUE, New York, NY 10022","01292","7501",Trump Tower,East side of Fifth Avenue between East 56th and 57th Streets,"1983",Completed,"Covered Pedestrian Space; Landscaped Terraces; Passageway",Donald Trump,Swanke Hayden Connell Architects,"Swanke Hayden Connell Architects; Thomas Balsley Associates","Covered Pedestrian Space 6626.00 sf; Landscaped Terraces 6336.00 sf; Passageway 0.00 sf","Closing for Events; Restricted Hours","Climate Control; Elevator; Escalator; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Restrooms; Retail Frontage; Seating; Tables; Trees within Space; Water Feature","Landscaped Terrace (Fifth Floor), Passageway: multiple pedestrian connections to Niketown; skylight",,Full/Partial,40.762311,-73.973894,"0991482","0217008","1035794","10022","4","112.02","1012927501",,POINT(-73.973894 40.762311),,No activity
"POINT (-73.973042 40.762105)",M050015,Manhattan,"1","05","590",MADISON AVENUE,"10022","590 MADISON AVENUE, New York, NY 10022","01292","0015",,Southwest corner of East 57th Street and Madison Avenue,"1982",Completed,"Arcade; Covered Pedestrian Space; Seating Area; Through Block Arcade; Urban Plaza",,Edward Larrabee Barnes,"Edward Larrabee Barnes; Zion and Breen; Robert A. M. Stern (for alteration in 1995)","Arcade 1851.00 sf; Covered Pedestrian Space 8261.00 sf; Seating Area 0.00 sf; Through Block Arcade 4669.00 sf; Urban Plaza 1821.00 sf","24 Hours; Closing for Events; Restricted Hours","Artwork; Food Service; Lighting; Litter Receptacles; None; Other Required; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature",access from 8:00 am to 10:00 pm from Through Block Arcade to passageway connecting to adjacent Trump Tower and to Fifth Avenue,,Full/Partial,40.762105,-73.973042,"0991718","0216933","1035778","10022","4","112.02","1012920015",,POINT(-73.973042 40.762105),,No activity
"POINT (-73.971328 40.761495)",M050016,Manhattan,"1","05","450",PARK AVENUE,"10022","450 PARK AVENUE, New York, NY 10022","01292","0037",,Southwest corner of Park Avenue and East 57th Street,"1971",Completed,Plaza,Peter Sharp,Emery Roth & Sons,Emery Roth & Sons,Plaza 3900.00 sf,24 Hours,"Lighting; Other Required; Planting; Seating; Trees on Street; Water Feature",access from Plaza to lobby,,Full/Partial,40.761495,-73.971328,"0992193","0216711","1035780","10022","4","112.02","1012920037",,POINT(-73.971328 40.761495),,No activity
"POINT (-73.995362 40.747028)",M050017,Manhattan,"1","05","230",WEST 27 STREET,"10001","230 WEST 27 STREET, New York, NY 10001","00776","0055",,South side of West 27th Street between Seventh and Eighth Avenues,"1974",Completed,Plaza,Fashion Institute of Technology Staff Housing Co. Inc.,de Young & Moscowitz,de Young & Moscowitz,Plaza 3093.64 sf,24 Hours,None,,,Full/Partial,40.747028,-73.995362,"0985535","0211439","1014237","10001","3","95","1007760055",,POINT(-73.995362 40.747028),,No activity
"POINT (-73.973504 40.761462)",M050018,Manhattan,"1","05","550",MADISON AVENUE,"10022","550 MADISON AVENUE, New York, NY 10022","01291","0010",Sony,West side of Madison Avenue between East 55th and 56th Streets,"1983",Completed,"Arcade; Covered Pedestrian Space",AT&T,Johnson/Burgee,"Johnson/Burgee; Gwathmey Siegel & Associates (for alteration in 1992 and 1998)","Arcade 3542.00 sf; Covered Pedestrian Space 10164.00 sf","24 Hours; Closing for Events; Restricted Hours","Climate Control; Food Service; Lighting; Litter Receptacles; Other Required; Plaque/Sign; Restrooms; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space","10,600 sf exhibit area (Sony Wonder) required to be open Tuesday through Saturday, 9:30 am to 5:00 pm; 70-seat assembly space within the exhibit area available for use by the city's non-profit community for meetings when not in use by Sony Wonder; access to and from Covered Pedestrian Space and Madison Avenue through Sony office building lobby; mobile vendor cart of approximately 65 sf to sell merchandise and/or food",,Full/Partial,40.761462,-73.973504,"0991590","0216699","1035769","10022","4","102","1012910010",,POINT(-73.973504 40.761462),,No activity
"POINT (-73.977471 40.763275)",M050019,Manhattan,"1","05","1370",SIXTH AVENUE,"10019","1370 SIXTH AVENUE, New York, NY 10019","01271","0071",1370 Avenue of the Americas,Southeast corner of West 56th Street and Sixth Avenue,"1971",Completed,Plaza,Peter Sharp,Emery Roth & Sons,"Emery Roth & Sons; Thomas Balsley (for alteration)",Plaza 4449.00 sf,24 Hours,"Lighting; Planting; Plaque/Sign; Seating",,,Full/Partial,40.763275,-73.977471,"0990491","0217359","1034855","10019","4","104","1012710071",,POINT(-73.977471 40.763275),,No activity
"POINT (-73.982694 40.764686)",M050020,Manhattan,"1","05","230",WEST 55 STREET,"10019","230 WEST 55 STREET, New York, NY 10019","01026","7502",La Premiere,Southwest corner of West 55th Street and Broadway,"1979",Completed,Residential Plaza,,Philip Birnbaum,"Philip Birnbaum; Elliot Vilkas Architect (for alteration in 2004)",Residential Plaza 5215.00 sf,Restricted Hours,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,Full/Partial,40.764686,-73.982694,"0989044","0217873","1078861","10019","6","137","1010267502",,POINT(-73.982694 40.764686),,No activity
